Index, codigo_1, codigo_2
15254, 2401019, 434211
15254, 8762055, 467111
15255, 8886158, 468411
15256, 2426919, 561510
15257, 2397037, 541510
15263, 2433055, 467115
15265, 8458098, 722514
15265, 9275382, 722514
15265, 9307960, 722514
15268, 2501204, 812310
15270, 6327647, 466211
15275, 2406251, 468213
15282, 45841, 332710
15282, 7475, 332999
15282, 294528, 811111
15282, 557688, 332710
15282, 7934559, 811312
15282, 554379, 811312
15282, 2212141, 467111
15282, 2454129, 811312
15282, 2431834, 811312
15282, 2915049, 332710
15282, 7982118, 332310
15282, 8889958, 333319
15282, 3865962, 332999
15282, 9290789, 561110
15282, 8957839, 332710
15282, 4181428, 332310
15282, 6406615, 721113
15285, 7402477, 485111
15285, 6157665, 485111
15285, 9316653, 485111
15286, 9181969, 434211
15286, 8843539, 434211
15286, 2503575, 467111
15288, 6881028, 431123
15290, 8921954, 114111
15292, 6490747, 237311
15293, 8350188, 464122
15293, 67818, 464122
15294, 155309, 465919
15294, 8511052, 465913
15295, 146817, 467111
15299, 6152797, 484239
15301, 150856, 326140
15304, 8229190, 435319
15304, 597115, 466114
15304, 8171702, 464122
15304, 6318909, 466112
15304, 6366996, 468412
15304, 3015563, 811311
15306, 6772414, 811219
15308, 8113719, 517910
15308, 8073460, 466212
15308, 858000, 435311
15308, 6341103, 541330
15308, 6345184, 541330
15308, 9299417, 492110
15308, 9307159, 517311
15308, 6757903, 541510
15308, 3213942, 517410
15308, 3132027, 541219
15308, 9326943, 561990
15310, 6151629, 236211
15314, 6330434, 316110
15315, 6329742, 316110
15315, 1154969, 316110
15316, 1136385, 337210
15317, 1265582, 561520
15320, 6202792, 434225
15321, 864558, 541211
15321, 6329422, 326194
15321, 9345758, 541110
15321, 4192206, 541211
15322, 6309305, 434222
15322, 6332099, 435313
15324, 1152256, 237131
15325, 1177519, 316211
15328, 6192570, 621115
15328, 389591, 621111
15328, 389592, 621113
15328, 461061, 621111
15329, 9090748, 435319
15329, 421227, 466112
15329, 470403, 466112
15329, 8274270, 466112
15329, 6226184, 466112
15329, 8948422, 466112
15329, 8680129, 468211
15329, 8447509, 312113
15333, 6932533, 434112
15334, 8264754, 434225
15334, 368533, 466211
15334, 348482, 466211
15334, 420103, 812410
15335, 6254970, 433110
15335, 6777780, 433110
15336, 6297130, 468411
15336, 2693667, 811192
15336, 4130099, 811112
15342, 9321112, 237312
15342, 6147521, 237312
15345, 9293071, 722511
15346, 2738646, 238290
15346, 8475392, 332999
15350, 6441741, 468411
15351, 9359330, 461110
15351, 3289329, 465912
15351, 6737533, 463211
15351, 3931864, 722511
15351, 8059355, 532282
15352, 9278517, 468411
15352, 6267551, 468411
15355, 1715793, 434224
15357, 3835868, 463218
15358, 6161736, 485410
15359, 2892674, 532110
15359, 3818561, 531113
15360, 7182297, 463211
15360, 7317426, 463211
15360, 3810243, 315229
15360, 4252751, 463211
15361, 6388017, 327330
15361, 6391655, 434211
15361, 6391656, 434211
15361, 6391658, 434211
15361, 3816569, 434211
15364, 6860694, 468411
15368, 4107519, 467111
15369, 6283371, 431213
15369, 6282627, 431213
15369, 6284269, 431213
15369, 6282630, 431213
15369, 108842, 461212
15369, 6285853, 461212
15369, 78520, 461212
15369, 133792, 461110
15369, 8312767, 461212
15369, 139269, 461212
15369, 6287949, 461212
15369, 6287957, 461212
15369, 9344280, 461110
15369, 8334158, 461212
15369, 6805138, 461212
15369, 6287904, 461212
15369, 6288000, 461212
15369, 6287867, 461212
15369, 6287901, 461212
15369, 6287954, 461212
15369, 6287920, 461212
15369, 6287919, 461212
15369, 6287909, 461212
15369, 6287999, 461212
15369, 6287900, 461212
15369, 6287965, 461212
15369, 6287888, 461212
15369, 6287914, 461212
15369, 6282795, 461212
15369, 6287889, 461212
15369, 6287891, 461212
15369, 6287875, 461212
15369, 6287931, 461212
15369, 6287962, 461212
15369, 6727039, 461212
15369, 6287907, 461212
15369, 6287882, 461212
15369, 134047, 461212
15369, 6287864, 461212
15369, 6287902, 461212
15369, 6287934, 461212
15369, 6287906, 461212
15369, 6288005, 461212
15369, 6287990, 461212
15369, 6287862, 461212
15369, 6287921, 461212
15369, 6288096, 461212
15369, 6287917, 461212
15369, 6287857, 461212
15369, 6287873, 461212
15372, 6189703, 561610
15372, 268763, 611421
15372, 572523, 492110
15372, 7161199, 541211
15372, 9338626, 561330
15372, 1077122, 541211
15372, 8126978, 238312
15372, 7974274, 541610
15372, 7866504, 541690
15372, 2728960, 541110
15372, 6798149, 541211
15372, 2811555, 811219
15372, 8642131, 541211
15372, 8067379, 541211
15372, 3458887, 561310
15372, 3539588, 541211
15372, 8720454, 561610
15372, 7876694, 931210
15372, 6731033, 466211
15372, 8037800, 541211
15372, 7706590, 524210
15373, 2607279, 621211
15377, 33357, 485210
15377, 666447, 485210
15377, 666453, 485210
15377, 877584, 492110
15377, 8564836, 621341
15377, 1147764, 485210
15377, 1147738, 485210
15377, 6156343, 485210
15377, 1296147, 485210
15377, 7793753, 485210
15377, 8033375, 485210
15377, 9292232, 485210
15377, 1230445, 485210
15377, 1209687, 485210
15377, 1235701, 485210
15377, 6161430, 485210
15377, 1660920, 485210
15377, 1800940, 485210
15377, 1772432, 485210
15377, 1827501, 485210
15377, 1793703, 485210
15377, 2606021, 485210
15377, 6798561, 485210
15377, 2621247, 485210
15377, 2647038, 485210
15377, 2690160, 485210
15377, 9274297, 492110
15377, 8702820, 485210
15377, 9274440, 492110
15379, 2399578, 236111
15379, 9302942, 326130
15379, 6420711, 434219
15379, 6421139, 434219
15379, 6421459, 434219
15379, 6421659, 434219
15379, 6421864, 434219
15379, 6422013, 434219
15380, 1998757, 434227
15380, 2212296, 434221
15380, 6771813, 467114
15381, 6315021, 468211
15381, 6368974, 468211
15381, 6324002, 468211
15382, 664554, 468112
15383, 3597667, 431150
15383, 6381657, 431150
15383, 6383473, 431150
15384, 2930369, 435411
15385, 6281661, 434230
15385, 6332401, 434230
15385, 6341417, 434230
15385, 3253583, 434230
15385, 3394922, 434230
15385, 8486453, 434230
15385, 8720899, 468420
15385, 8486454, 434230
15387, 6904706, 434112
15387, 15970, 461110
15387, 12558, 462112
15387, 19536, 466211
15387, 40107, 621113
15387, 10693, 811219
15387, 12941, 811121
15387, 8370371, 323119
15387, 8589374, 334410
15387, 8319404, 435411
15387, 6286713, 435411
15387, 100779, 488990
15387, 9323304, 522460
15387, 87289, 541610
15387, 83065, 541620
15387, 65674, 561432
15387, 102839, 561432
15387, 73587, 811219
15387, 74983, 811192
15387, 8301290, 812110
15387, 7622257, 812110
15387, 65576, 811219
15387, 6736303, 811219
15387, 6474512, 811199
15387, 7155976, 811111
15387, 162828, 811219
