Index,codigo_1,codigo_2
29913,6706736,467117
29914,1507742,621491
29914,1432888,621491
29914,8512828,621491
29917,6263039,468411
29917,8764861,468411
29919,9319019,236112
29920,8384059,811219
29920,7208649,435319
29922,645759,435419
29927,660236,541110
29929,2210965,325520
29930,9324619,517311
29930,9330530,517311
29930,4637795,517311
29930,9274569,517311
29930,4600873,515120
29930,9274570,517311
29930,4613790,517311
29930,9330531,517311
29930,4637239,517311
29930,4644648,517311
29930,9274560,517311
29932,9173573,541350
29932,9286375,517311
29933,6727065,435419
29933,6309562,435419
29933,6325411,435419
29937,8030574,339993
29937,756984,433210
29940,729984,464111
29940,2229778,464111
29950,767191,463211
29954,7732942,811312
29956,934430,518210
29958,869799,541510
29958,9354812,463215
29958,2629401,311812
29959,933020,561310
29962,7254275,532289
29966,959508,722511
29968,6905379,323119
29968,49460,434311
29968,36339,465915
29968,7621611,465915
29968,22500,463211
29968,6979760,463216
29968,31044,461130
29968,6724243,462111
29968,607,465311
29968,19164,461122
29968,19077,461122
29968,6281675,463215
29968,19067,463214
29968,9223393,522210
29968,51447,541310
29968,7481536,541110
29968,33106,611511
29968,36354,722518
29968,6979829,722516
29968,19092,722514
29968,9352389,812110
29968,6905920,812110
29968,8541076,812110
29968,38871,812110
29968,31546,812110
29968,8955744,811111
29968,17992,811312
29968,6186059,212321
29968,6142703,236221
29968,6859622,236211
29968,88268,315223
29968,95824,315229
29968,127327,311830
29968,6288125,326192
29968,7137904,321999
29968,7634178,323119
29968,8319786,339993
29968,6498717,335312
29968,71710,434211
29968,6724231,434229
29968,8565216,435313
29968,60170,434112
29968,6498449,435220
29968,9337320,433510
29968,6797074,433410
29968,6797073,433410
29968,6797071,433410
29968,6803944,433410
29968,6797072,433410
29968,6283871,433410
29974,8699522,561610
29975,9086613,532310
29976,795834,621113
29979,779585,332999
29985,6341786,332810
29985,1870446,332810
29985,2142609,326193
29985,8667436,332810
29986,8668642,332410
29988,8486529,433110
29988,6860593,464113
29996,6304993,339992
29999,6712148,434226
29999,6213877,434226
29999,8371108,467113
29999,6216624,467113
29999,8536203,467113
29999,6216086,467113
29999,8779986,467113
29999,8921817,467113
29999,8780073,467113
29999,8827482,467113
29999,8827656,467113
29999,8780058,467113
29999,8827511,467113
29999,8779932,467113
29999,8827665,467113
29999,8780062,467113
29999,8939759,467113
29999,8939968,467113
29999,8827516,467113
29999,8939875,467113
29999,6213992,467113
30005,1050562,322210
30007,1054711,325999
30010,6767453,333510
30017,6155307,485510
30017,6695642,485410
30017,1161196,532122
30017,6157856,485410
30025,6309417,434221
30030,1993499,811119
30030,1965512,811111
30030,3781745,811119
30030,4143530,811119
30030,8126151,811199
30032,8947755,326193
30033,822478,325993
30039,52041,561510
30040,2038896,434221
30040,2275730,435220
30040,2277365,435220
30040,2133810,434221
30040,2075174,467111
30040,8001384,467111
30042,8773607,721113
30047,759454,468211
30048,759803,811111
30053,108319,333991
30053,53813,813110
30053,862996,611511
30053,6393028,464111
30056,8721011,467112
30058,2052888,238311
30063,8351026,541620
30071,684780,541920
30072,6321800,434222
30072,6317858,435313
30073,8699006,435419
30076,965354,561510
30085,6752801,339950
30085,8980893,813230
30085,8111088,463214
30085,3947407,541211
30091,6315493,434219
30091,6318186,434219
30091,6352612,434219
30091,6352613,434219
30091,6357671,434219
30091,6352610,434219
30091,6352611,434219
30092,2049627,621111
30096,2403617,466111
30098,9021091,722519
30100,5015,518210
30100,135357,541510
30100,9334362,541610
30100,1684930,435313
30100,7582137,811219
30100,8381220,811312
30100,8349113,238990
30100,7684454,531210
30100,8748225,811111
30100,9134539,811219
30100,4084974,811121
30100,6151713,237212
30100,7855688,811219
30101,872505,611611
30106,8679790,313220
30106,7802602,313210
30106,660496,313210
30112,693699,561610
30127,8286432,313210
30127,8658162,313210
30127,6858701,313210
30128,3460056,434221
30128,3256139,468211
30129,6472250,562111
30130,7852542,435411
30135,9324755,237312
30138,8329129,431180
30140,6882003,237312
30144,6304198,467111
30144,6376852,467111
30145,6790953,431160
30145,3361018,435313
30147,3365003,435411
30148,6160763,487110
30151,527578,812310
30151,9009829,812310
30151,785069,812310
30151,785108,812310
30151,8150523,812310
30151,3408139,812310
30152,3415533,467115
30153,3273129,465912
30153,9310312,465111
30154,6149160,236221
30155,3530417,336210
30155,3531311,811129
30157,6990392,332320
30157,3422147,435311
30158,9325847,336360
30158,9325848,336360
30158,6708488,336360
30158,3330626,336360
30160,8264860,468211
30160,771431,468420
30160,991822,468211
30160,1065824,468211
30160,1127385,468211
30160,1155774,468211
30160,1654517,468211
30160,1658271,468211
30160,2386708,468211
30160,2242793,468211
30160,7362451,468211
30160,7390859,468211
30160,8881297,468211
30160,2477729,468211
30160,2491714,468420
30160,8881827,468420
30160,2590398,468211
30160,3491454,468420
30160,3607092,468211
30160,3839050,467111
30160,4234316,466112
30162,6218340,325610
30162,3257146,467115
30162,3371552,467115
30162,3520206,467115
30162,3518348,467115
30166,9330493,237999
30167,3460208,541510
30168,6722246,236111
30169,3419218,326193
30173,6272140,323119
30176,3460077,434211
30177,9320440,236221
30178,9318623,561110
30178,8345512,311812
30182,3259803,434221
30183,3438312,466211
30189,39720,467115
30189,8308622,467115
30190,8826328,311940
30192,6769947,464122
30193,1060751,434211
30193,2021598,467111
30193,3242041,327330
30193,3090686,467111
30195,6379356,488519
30197,3346649,541610
30202,8628694,332710
30207,8017981,467113
30207,6380444,467113
30207,6867490,435419
30207,8936878,467113
30207,6377372,467113
30207,6377844,467113
30207,6378359,467113
30207,6378418,467113
30207,6380412,467113
30207,6750914,467113
30207,6807112,467113
30207,6750861,467113
30207,6408756,467113
30208,6149148,236221
30211,8978334,333411
30213,3452866,434222
30215,6700248,431180
30215,6796186,431180
30221,3271707,722511
30224,8287375,434111
30224,6380087,434111
30224,8617445,434111
30224,8684878,434111
30224,9051326,434111
30224,9051450,434111
30224,9370848,434111
30224,6377243,434111
30224,6377666,434111
30224,6377737,434111
30224,6378191,434111
30224,6380083,434111
30224,6380085,434111
30224,6380086,434111
30224,6406005,434111
30224,6406009,434111
30227,3401797,466211
30227,3270214,466211
30227,3270221,466211
30227,3270227,466211
30227,3270254,466211
30227,3270261,466211
30227,8763555,466211
30227,4182661,466211
30228,3330186,332110
30230,3406778,467111
30230,3406883,467111
30231,3272379,466114
30231,3363270,466114
30232,3329772,335210
30237,2915183,434225
30239,6159365,484129
30240,2927821,467112
30240,8969516,467112
30242,2969506,326199
30243,269130,333999
30243,6307771,332320
30244,8970270,541430
30246,8437049,315192
30246,2945488,331310
30246,6376068,335920
30246,8369253,334410
30246,2984737,334519
30247,8391540,434219
30247,4095216,434222
30251,3034060,434226
30251,8618265,434226
30251,4036711,467113
30252,8734762,541860
30252,2922336,541810
30254,6165155,484210
30255,295182,332310
30255,9237842,332999
30255,6213921,332710
30255,6369621,332999
30256,2955887,484229
30256,8369161,484229
30257,6856396,236221
30258,6159649,484239
30258,8632920,811111
30259,8261350,326140
