Index,codigo_1,codigo_2,idx_codigo
6342,6308272,531114,0
6343,6988328,713943,1
6343,6950914,713943,2
6343,176429,713943,3
6343,7682419,713943,4
6343,313252,713943,5
6343,8434818,713943,6
6343,282794,713943,7
6343,366852,713943,8
6343,470063,713943,9
6343,474548,713943,10
6343,7457776,713943,11
6343,7187444,713943,12
6343,928293,713943,13
6343,959635,713943,14
6343,940985,713943,15
6343,9255455,713943,16
6343,1048928,713943,17
6343,8210273,713943,18
6343,7809291,713943,19
6343,1202756,713943,20
6343,8066124,713943,21
6343,9222472,713943,22
6343,7951741,713943,23
6343,7958032,713943,24
6343,9197680,713943,25
6343,7958629,713943,26
6343,8139900,713943,27
6343,7918130,713943,28
6343,8526008,713943,29
6343,1624813,713943,30
6343,7352741,713943,31
6343,7491084,713943,32
6343,9098295,713943,33
6343,7406136,713943,34
6343,1632475,713943,35
6343,1916548,713943,36
6343,2153668,713943,37
6343,2203994,713943,38
6343,2209629,713943,39
6343,2311765,713943,40
6343,8479093,713943,41
6343,8459279,713943,42
6343,2432343,713943,43
6343,8762134,713943,44
6343,8548470,713943,45
6343,2351943,713943,46
6343,2230574,713943,47
6343,2154380,713943,48
6343,8452112,713943,49
6343,8475357,713943,50
6344,763739,466311,51
6347,895027,435412,52
6353,7934572,332999,53
6355,6695910,541810,54
6359,6199473,326110,55
6371,812166,493120,56
6371,970699,493120,57
6373,8939623,461150,58
6373,2193918,461150,59
6374,6258087,434211,60
6374,6258089,434211,61
6374,1119251,467111,62
6389,22981,465215,63
6389,20646,532281,64
6389,7071817,315229,65
6389,620840,463214,66
6389,8625630,463214,67
6389,1078515,532281,68
6389,1325695,532281,69
6389,1468929,465215,70
6389,2028972,315224,71
6389,2138528,463214,72
6389,7094467,532281,73
6389,7839250,314991,74
6389,3768442,463214,75
6389,8908893,532281,76
6393,8038371,325610,77
6393,3613887,467115,78
6394,6348073,315229,79
6397,6866252,238330,80
6398,9290612,434225,81
6401,2073214,464121,82
6401,3066656,464121,83
6403,6200034,722515,84
6403,920596,722515,85
6403,8979048,461190,86
6405,1011609,461190,87
6405,8347891,311820,88
6411,8939760,434221,89
6411,1622786,434222,90
6411,2200376,434221,91
6419,6698740,435412,92
6425,8443604,112512,93
6425,8624336,114119,94
6425,8443689,114119,95
6425,6166243,114119,96
6425,6711615,212324,97
6425,19683,238210,98
6425,8499775,238320,99
6425,6142429,236111,100
6425,6218,238190,101
6425,9283618,236112,102
6425,9317118,236221,103
6425,9286452,236111,104
6425,6142378,236221,105
6425,9320141,237999,106
6425,9122478,238210,107
6425,6862090,236211,108
6425,33023,236211,109
6425,6142281,236111,110
6425,9313210,238210,111
6425,9317117,237212,112
6425,9321075,236111,113
6425,9317119,236221,114
6425,6879420,238290,115
6425,10169,312112,116
6425,6282301,312112,117
6425,6866620,311212,118
6425,6282598,312111,119
6425,6281309,312111,120
6425,6280910,312111,121
6425,6281876,312112,122
6425,35079,314120,123
6425,8879341,311812,124
6425,6281802,315229,125
6425,8942,311520,126
6425,6282184,312111,127
6425,6869923,312111,128
6425,6282330,311611,129
6425,6281391,311611,130
6425,8901363,311110,131
6425,8624699,311513,132
6425,9345831,312111,133
6425,6282596,312111,134
6425,23968,315229,135
6425,984,311340,136
6425,8500315,316999,137
6425,6873805,311611,138
6425,18656,313220,139
6425,6282228,315229,140
6425,6281349,315229,141
6425,6282229,315229,142
6426,6703245,621511,143
6426,9001521,621511,144
6426,8201963,621511,145
6426,8663329,339111,146
6426,3592045,621511,147
6426,3836410,541380,148
6428,888484,433420,149
6428,1001607,433420,150
6430,6201994,466211,151
6430,6766695,435411,152
6430,3768275,466211,153
6434,867721,466111,154
6437,8564845,812110,155
6437,9291888,812110,156
6437,9169831,812110,157
6444,895420,541510,158
6446,6155388,492110,159
6447,6325375,541810,160
6449,8442155,541510,161
6458,744998,326191,162
6461,820812,467113,163
6466,9163758,238311,164
6466,9329841,237212,165
6466,6143037,237312,166
6466,8233487,541711,167
6466,697013,541330,168
6467,658813,468211,169
6467,758219,468211,170
6467,748509,811199,171
6467,748465,811199,172
6467,755494,811199,173
6467,748486,811199,174
6469,201434,468213,175
