Index,codigo_1,codigo_2
6342,6308272,531114
6343,6988328,713943
6343,6950914,713943
6343,176429,713943
6343,7682419,713943
6343,313252,713943
6343,8434818,713943
6343,282794,713943
6343,366852,713943
6343,470063,713943
6343,474548,713943
6343,7457776,713943
6343,7187444,713943
6343,928293,713943
6343,959635,713943
6343,940985,713943
6343,9255455,713943
6343,1048928,713943
6343,8210273,713943
6343,7809291,713943
6343,1202756,713943
6343,8066124,713943
6343,9222472,713943
6343,7951741,713943
6343,7958032,713943
6343,9197680,713943
6343,7958629,713943
6343,8139900,713943
6343,7918130,713943
6343,8526008,713943
6343,1624813,713943
6343,7352741,713943
6343,7491084,713943
6343,9098295,713943
6343,7406136,713943
6343,1632475,713943
6343,1916548,713943
6343,2153668,713943
6343,2203994,713943
6343,2209629,713943
6343,2311765,713943
6343,8479093,713943
6343,8459279,713943
6343,2432343,713943
6343,8762134,713943
6343,8548470,713943
6343,2351943,713943
6343,2230574,713943
6343,2154380,713943
6343,8452112,713943
6343,8475357,713943
6344,763739,466311
6347,895027,435412
6353,7934572,332999
6355,6695910,541810
6359,6199473,326110
6371,812166,493120
6371,970699,493120
6373,8939623,461150
6373,2193918,461150
6374,6258087,434211
6374,6258089,434211
6374,1119251,467111
6389,22981,465215
6389,20646,532281
6389,7071817,315229
6389,620840,463214
6389,8625630,463214
6389,1078515,532281
6389,1325695,532281
6389,1468929,465215
6389,2028972,315224
6389,2138528,463214
6389,7094467,532281
6389,7839250,314991
6389,3768442,463214
6389,8908893,532281
6393,8038371,325610
6393,3613887,467115
6394,6348073,315229
6397,6866252,238330
6398,9290612,434225
6401,2073214,464121
6401,3066656,464121
6403,6200034,722515
6403,920596,722515
6403,8979048,461190
6405,1011609,461190
6405,8347891,311820
6411,8939760,434221
6411,1622786,434222
6411,2200376,434221
6419,6698740,435412
6425,8443604,112512
6425,8624336,114119
6425,8443689,114119
6425,6166243,114119
6425,6711615,212324
6425,19683,238210
6425,8499775,238320
6425,6142429,236111
6425,6218,238190
6425,9283618,236112
6425,9317118,236221
6425,9286452,236111
6425,6142378,236221
6425,9320141,237999
6425,9122478,238210
6425,6862090,236211
6425,33023,236211
6425,6142281,236111
6425,9313210,238210
6425,9317117,237212
6425,9321075,236111
6425,9317119,236221
6425,6879420,238290
6425,10169,312112
6425,6282301,312112
6425,6866620,311212
6425,6282598,312111
6425,6281309,312111
6425,6280910,312111
6425,6281876,312112
6425,35079,314120
6425,8879341,311812
6425,6281802,315229
6425,8942,311520
6425,6282184,312111
6425,6869923,312111
6425,6282330,311611
6425,6281391,311611
6425,8901363,311110
6425,8624699,311513
6425,9345831,312111
6425,6282596,312111
6425,23968,315229
6425,984,311340
6425,8500315,316999
6425,6873805,311611
6425,18656,313220
6425,6282228,315229
6425,6281349,315229
6425,6282229,315229
6426,6703245,621511
6426,9001521,621511
6426,8201963,621511
6426,8663329,339111
6426,3592045,621511
6426,3836410,541380
6428,888484,433420
6428,1001607,433420
6430,6201994,466211
6430,6766695,435411
6430,3768275,466211
6434,867721,466111
6437,8564845,812110
6437,9291888,812110
6437,9169831,812110
6444,895420,541510
6446,6155388,492110
6447,6325375,541810
6449,8442155,541510
6458,744998,326191
6461,820812,467113
6466,9163758,238311
6466,9329841,237212
6466,6143037,237312
6466,8233487,541711
6466,697013,541330
6467,658813,468211
6467,758219,468211
6467,748509,811199
6467,748465,811199
6467,755494,811199
6467,748486,811199
6469,201434,468213
6469,3616353,468213
6472,6865534,431121
6472,6718332,461110
6472,3032774,461121
6474,3501547,327910
6474,8664423,435220
6476,739967,463214
6476,2208771,463211
6478,6308267,315222
6479,9319212,236112
6481,719714,461130
6482,1045121,323119
6483,6730377,434225
6484,683722,811119
6490,6733111,541810
6493,8536035,311812
6493,6768939,311812
6493,862487,311812
6493,910102,311812
6494,1010044,464111
6494,1047432,464111
6497,871916,435313
6498,2069850,321910
6510,8768117,522452
6511,6305728,466212
6511,6759886,466212
6511,2501392,466212
6511,6353540,466212
6511,6791384,466212
6511,2040184,466212
6511,6353541,466212
6511,3593976,466212
6518,903510,325620
6520,953466,463111
6521,6801834,464111
6521,971456,464113
6525,2933743,326198
6525,3873767,323119
6526,6313848,621491
6526,6321540,621491
6526,6383001,621491
6529,8489177,434221
6529,964736,467113
6532,966142,722512
6538,9296234,434223
6540,8596036,488511
6541,8595920,326193
6541,6430433,326160
6541,6708021,326160
6548,1000045,463112
6548,1000103,463111
6548,834661,813210
6548,1220994,813210
6548,8619409,813210
6548,1925230,813210
6548,8865814,813210
6548,3060257,813210
6548,3147379,813210
6548,4100959,813210
6548,4065185,813210
6548,4614017,813210
6549,1003044,432119
6549,1002947,465311
6549,1003043,465311
6549,9069806,465311
6549,7151619,463113
6549,8744715,465311
6549,8971291,465311
6549,9208813,463113
6550,1335888,463113
6550,7148070,432119
6550,2126756,463113
6553,889776,541510
6555,989598,722511
6556,8326467,465913
6556,8503454,316213
6556,1711589,326150
6558,1026632,541510
6561,8153269,722511
6563,920862,541510
6566,934145,434225
6569,952296,465212
6570,7255737,435313
6570,933491,463211
