Index,Nombre1,Nombre2,Nombre3,Direccion1,Direccion2,Direccion3,Colonia,MunicipioDel,CP,EntreCalle1,EntreCalle2,Estado,NombComp
0,CENTRO PAPELERO SUN-,RISE SA DE CV,,REGINA,135,ACCE A,CENTRO #AREA 9#,CUAUHTEMOC,6090,125,126,CDMX,CENTRO PAPELERO SUN-RISE  SA DE CV
1,ECOTRANSPORTES ZERME,NO GARCIA SA DE CV,,VALPARAISO,65,1,TEPEYAC INSURGENTES,GUSTAVO A MADERO,7020,1,2,CDMX,ECOTRANSPORTES ZERMENO GARCIA  SA DE CV
2,"TECNOLAMINAS, S.A. D",E C#V#,,CALLE DEL RIO,2,,INDUSTRIAL ALCE BLAN,NAUCALPAN,53370,CALZADA DE LAS ARMAS,AVENIDA 16 DE SEPTIEMBRE,Estado de Mexico,"TECNOLAMINAS, SA DE CV"
3,MASVIDA SA CV,,,HAMBURGO,141,03A,JUAREZ,CUAUHTEMOC,6600,,,CDMX,MASVIDA SA CV
4,INTEGRADORA COMERCIA,L VS SA DE CV,,PEDRO GUZMAN 17,TORRE 8,DEP 604,LOMAS DE SAN LORENZO,ATIZAPAN DE ZARAGOZA,52975,PUEBLO SAN LORENZO,AV LOPEZ MATEOS,Estado de Mexico,INTEGRADORA COMERCIAL VS  SA DE CV
5,TPS CONTAINER SA DE,CV,,PONIENTE 140,839,,INDUSTRIAL VALLEJO,AZCAPOTZALCO,2300,PETRARCA,SCHILLER,CDMX,TPS CONTAINER  SA DE CV
6,COMERCIALIZADORA CRU,Z TREJO ROEL SA DE C,V,HOMERO,404,101,POLANCO,MIGUEL HIDALGO,11560,UNO,DOS,CDMX,COMERCIALIZADORA CRUZ TREJO ROEL  SA DE CV
7,"US STICK DE MEXICO,S",A DE CV,,AQUILES SERDAN,143,,SANTA MARIA AZTAHUAC,IZTAPALAPA,9570,DOSS,DOS,CDMX,"US STICK DE MEXICO, SA DE CV"
8,EMPAQUES Y ACABADOS,LITOGRAFICOS SA DE C,V,CENTENO,715,,GRANJAS MEXICO,IZTACALCO,8400,RIO CHURUBUSCO,GOMA,CDMX,EMPAQUES Y ACABADOS LITOGRAFICOS  SA DE CV
9,DIMTEL SA DE CV,,,COLORINES,115,,VALLE DEL SUR,IZTAPALAPA,9819,EJE 3 OTE,COSECHAS,CDMX,DIMTEL  SA DE CV
10,"ARESA REFACCIONES,SA",DE CV,,AV A#IL,465,5,GRANJAS MEXICO,IZTACALCO,8400,REFORMA,MANZANO,CDMX,"ARESA REFACCIONES, SA DE CV"
11,SINERGIAS ECOLOGICAS,SA DE CV,,INSURGENTES SUR,1150,OF3,DEL VALLE,BENITO JUAREZ,3200,TLACOQUEMECATL,MIGUEL LAURENT,CDMX,SINERGIAS ECOLOGICAS SA DE CV
12,PERFIHERRAJES IMMSA,SA DE CV,,CAFETAL,241,,GRANJAS MEXICO,IZTACALCO,8400,CHICL E,3A PRIVADA CANELA,CDMX,PERFIHERRAJES IMMSA  SA DE CV
13,MULTISERVICIOS EN ME,RCADOTECNIA Y COMERC,IALIZACION#SA DE CV,TLACOQUEMECATL,41,PSO 1 B,TLACOQUEMECATL,BENITO JUAREZ,3200,UNO,DOS,CDMX,MULTISERVICIOS EN MERCADOTECNIA Y COMERCIALIZACION SA DE CV
