Index,CP,nombre_completo_limpio,conteo_consulta_sin_cp,conteo_consulta_con_cp
1832,64290,AUTO MECANICA ROEL,2,0
20505,11000,TERRAD ,0,0
11071,1020,PRODUCCIONES HAMMER,0,0
32170,98000,MOTEL ZACATECAS COURTS ,1,1
21431,20230,GRUPO CTT,0,0
2439,67118,EMPAQUES DE CARTON MONTERREY ,1,0
5702,24155,CONSTRUCCION Y MULTISERVICIOS MANGEL ,0,0
25263,29000,DEPORTES CEVAL ,2,0
8791,4100,RED INGENIERIA,12,0
27708,72760,IMD INDUSTRIAL MECANICAL DRIVES ,0,0
3463,87020,IMPULSORA COMERCIALVIROSA ,0,0
480,4380,QUIMICA FRAMCE,0,0
7417,78290,SERVICIOS AUXILIARESDEL CENTRO,0,0
12322,76000,PAT GRUPO EMPRESARIAL ,2,1
6596,1030,ESCAMEXPORT ,0,0
7116,9430,SERVICIO AUTOMOTRIZHERRERA ,0,0
17998,23000,VIAJES PERLA ,5,2
28544,64000,SPPN SEGURIDAD PRIVADA ,1,1
1472,53370,AMERICANA DE ETIQUETAS TEXTILES  ,0,0
15519,32696,DISTRIBUIDORA DE PRODUCTOS SALAS ,0,0
1342,1280,TALINC DE MEXICO ,0,0
31507,23427,CONSTRUCCIONES HERANG ,0,0
23784,66260,D4 REALITY ,3,0
11964,36220,RANCHO DE ENMEDIO RESTAURANT ,0,0
18131,64860,GENOCO ,0,0
29937,11320,REPRESENTACIONES GAMI ,2,0
11676,3020,GOLIATH ROCK DRILL ,0,0
16117,58070,ACCOUNT CORPORATIVO,0,0
22523,9800,MECANICA AMBIENTAL AUTOMATIZADA ,0,0
11050,53100,ABG APLICACION GLOBAL DE NEGOCIOS ,0,0
11662,8400,GRUPO NOTYPRESS ,0,0
3072,76806,TALLER INDUSTRIAL COMETA ,1,0
568,58230,RADIADORES DINOS ,1,1
30438,44549,COMERCIALIZADORA MENLEO ,0,0
19434,22755,AUTOTRANSPORTES DIAMANTES DE CHIAPAS ,7,0
25065,72410,UNIVERSAL DE MAQUINARIA ,1,1
7200,66450,SPORT SALOON ,0,0
5512,89110,IEX SERVICIOS DE MEXICO ,0,0
12796,44160,SOLUCIONES EN LINEA,11,0
30331,64650,COMERCIALIZADORA LAMORT ,1,1
